train_size,doc_uuid,baseline,batch_geo,improvement
10,rLoQYdiNXpyRmjbvJw8Z9w,0.3000,0.3200,0.0200
10,Zk7V6NHIWZGiL86CP0QE4A,0.6800,0.6600,-0.0200
10,Sru5qOrxW3212wgWPObOew,0.6200,0.7000,0.0800
10,F4o8CSOgUYStpyWq5UIO2w,0.2800,0.4600,0.1800
20,Zk7V6NHIWZGiL86CP0QE4A,0.7400,0.7200,-0.0200
20,rLoQYdiNXpyRmjbvJw8Z9w,0.3000,0.3600,0.0600
20,F4o8CSOgUYStpyWq5UIO2w,0.2600,0.4000,0.1400
20,Sru5qOrxW3212wgWPObOew,0.5800,0.8200,0.2400
40,Sru5qOrxW3212wgWPObOew,0.5800,0.6800,0.1000
40,F4o8CSOgUYStpyWq5UIO2w,0.3200,0.3800,0.0600
40,rLoQYdiNXpyRmjbvJw8Z9w,0.3200,0.3400,0.0200
40,Zk7V6NHIWZGiL86CP0QE4A,0.7200,0.6600,-0.0600
60,F4o8CSOgUYStpyWq5UIO2w,0.0000,0.0000,0.0000
60,Sru5qOrxW3212wgWPObOew,0.0000,0.0000,0.0000
60,Zk7V6NHIWZGiL86CP0QE4A,0.0000,0.0000,0.0000
60,rLoQYdiNXpyRmjbvJw8Z9w,0.0000,0.0000,0.0000
